alt_km,f107,rho,fO,fN2,fO2,T
2.54000000e+02,1.50000000e+02,7.13764672e-11,6.36671102e-01,3.46726580e-01,1.66023177e-02,1.02984851e+03
2.56000000e+02,1.50000000e+02,6.82712220e-11,6.42476531e-01,3.41316799e-01,1.62066700e-02,1.03140527e+03
2.58000000e+02,1.50000000e+02,6.53212137e-11,6.48224107e-01,3.35956423e-01,1.58194699e-02,1.03289819e+03
2.60000000e+02,1.50000000e+02,6.25174565e-11,6.53913134e-01,3.30646309e-01,1.54405574e-02,1.03432996e+03
2.62000000e+02,1.50000000e+02,5.98515820e-11,6.59543265e-01,3.25386958e-01,1.50697778e-02,1.03570337e+03
2.64000000e+02,1.50000000e+02,5.73157563e-11,6.65113914e-01,3.20179133e-01,1.47069532e-02,1.03702075e+03
2.66000000e+02,1.50000000e+02,5.49026588e-11,6.70624633e-01,3.15023434e-01,1.43519328e-02,1.03828455e+03
2.68000000e+02,1.50000000e+02,5.26054582e-11,6.76074783e-01,3.09920644e-01,1.40045730e-02,1.03949695e+03
2.70000000e+02,1.50000000e+02,5.04177568e-11,6.81464437e-01,3.04870834e-01,1.36647292e-02,1.04066028e+03
2.72000000e+02,1.50000000e+02,4.83335871e-11,6.86792409e-01,2.99875330e-01,1.33322610e-02,1.04177661e+03
2.74000000e+02,1.50000000e+02,4.63473079e-11,6.92059104e-01,2.94933849e-01,1.30070476e-02,1.04284778e+03
2.76000000e+02,1.50000000e+02,4.44536317e-11,6.97264060e-01,2.90047027e-01,1.26889133e-02,1.04387585e+03
2.78000000e+02,1.50000000e+02,4.26476875e-11,7.02406855e-01,2.85215388e-01,1.23777572e-02,1.04486243e+03
2.80000000e+02,1.50000000e+02,4.09247670e-11,7.07487485e-01,2.80439062e-01,1.20734536e-02,1.04580945e+03
2.82000000e+02,1.50000000e+02,3.92805198e-11,7.12505537e-01,2.75718591e-01,1.17758719e-02,1.04671851e+03
